iter,elapsed_s,best_obj,curr_obj,alpha,selected_orders,gap_abs,gap_pct
494,1.017,26489,24892,0.05,88,690,2.539
495,1.02,26489,25049,0.05,87,690,2.539
496,1.02,26489,25763,0.5,87,690,2.539
497,1.02,26489,25338,0.2,87,690,2.539
498,1.026,26489,25311,0.05,88,690,2.539
499,1.026,26489,25473,0.05,88,690,2.539
500,1.026,26489,25369,0.35,87,690,2.539
501,1.026,26489,26454,0.35,88,690,2.539
502,1.026,26489,24382,0.35,87,690,2.539
503,1.026,26489,24979,0.05,87,690,2.539
504,1.033,26489,25542,0.1,88,690,2.539
505,1.033,26489,25386,0.05,88,690,2.539
506,1.035,26489,25118,0.5,88,690,2.539
507,1.037,26489,25871,0.5,88,690,2.539
508,1.04,26489,24923,0.35,88,690,2.539
509,1.041,26489,25868,0.1,88,690,2.539
510,1.041,26489,25627,0.5,87,690,2.539
511,1.041,26489,24744,0.35,87,690,2.539
512,1.041,26489,25434,0.5,87,690,2.539
513,1.041,26489,24596,0.2,88,690,2.539
514,1.041,26489,25005,0.2,87,690,2.539
515,1.041,26489,24372,0.2,88,690,2.539
516,1.041,26489,24913,0.05,87,690,2.539
517,1.041,26489,25192,0.35,87,690,2.539
518,1.051,26489,24938,0.2,88,690,2.539
519,1.051,26489,25939,0.2,88,690,2.539
520,1.051,26489,25896,0.35,87,690,2.539
521,1.051,26489,24844,0.2,88,690,2.539
522,1.051,26489,24561,0.2,88,690,2.539
523,1.051,26489,26325,0.35,87,690,2.539
524,1.051,26489,25513,0.35,88,690,2.539
525,1.051,26489,24541,0.2,87,690,2.539
526,1.064,26489,24703,0.1,87,690,2.539
527,1.064,26489,25001,0.35,87,690,2.539
528,1.067,26489,24517,0.35,87,690,2.539
529,1.068,26489,24403,0.35,88,690,2.539
530,1.068,26489,24713,0.2,88,690,2.539
531,1.07,26489,24404,0.05,88,690,2.539
532,1.07,26489,25225,0.5,88,690,2.539
533,1.072,26489,25772,0.35,88,690,2.539
534,1.072,26489,25401,0.05,87,690,2.539
535,1.074,26489,25449,0.5,88,690,2.539
536,1.076,26489,25924,0.5,87,690,2.539
537,1.078,26489,25559,0.1,88,690,2.539
538,1.078,26489,25684,0.35,87,690,2.539
539,1.08,26489,25822,0.2,88,690,2.539
540,1.08,26489,24669,0.05,88,690,2.539
541,1.083,26489,24123,0.2,87,690,2.539
542,1.085,26489,25176,0.1,87,690,2.539
543,1.085,26489,25023,0.5,87,690,2.539
544,1.087,26489,25115,0.1,87,690,2.539
545,1.089,26489,25847,0.05,88,690,2.539
546,1.089,26489,25226,0.5,87,690,2.539
