iter,elapsed_s,best_obj,gap_abs,gap_pct,p_alpha_0.05,p_alpha_0.1,p_alpha_0.2,p_alpha_0.35,p_alpha_0.5
304,0.733,26489,690,2.539,0.199833,0.199393,0.198632,0.200662,0.20148
305,0.733,26489,690,2.539,0.199848,0.199331,0.198647,0.200678,0.201496
306,0.733,26489,690,2.539,0.199826,0.199309,0.198625,0.200655,0.201585
307,0.733,26489,690,2.539,0.199823,0.199306,0.198622,0.200652,0.201596
308,0.733,26489,690,2.539,0.199829,0.199312,0.198628,0.200659,0.201572
309,0.74,26489,690,2.539,0.199833,0.199316,0.198614,0.200662,0.201575
310,0.74,26489,690,2.539,0.199842,0.19928,0.198623,0.200671,0.201584
311,0.74,26489,690,2.539,0.199821,0.19926,0.198602,0.200754,0.201563
312,0.747,26489,690,2.539,0.199828,0.199266,0.198609,0.200761,0.201537
313,0.747,26489,690,2.539,0.19984,0.199263,0.198606,0.200758,0.201534
314,0.747,26489,690,2.539,0.199797,0.199274,0.198616,0.200768,0.201545
315,0.747,26489,690,2.539,0.199784,0.199324,0.198604,0.200756,0.201532
316,0.747,26489,690,2.539,0.199795,0.199279,0.198615,0.200767,0.201543
317,0.747,26489,690,2.539,0.19979,0.199274,0.19861,0.200762,0.201564
318,0.755,26489,690,2.539,0.199797,0.199248,0.198616,0.200769,0.20157
319,0.755,26489,690,2.539,0.199803,0.199254,0.198592,0.200775,0.201577
320,0.755,26489,690,2.539,0.199806,0.199243,0.198594,0.200777,0.201579
321,0.755,26489,690,2.539,0.199813,0.19925,0.198601,0.20075,0.201586
322,0.755,26489,690,2.539,0.199802,0.199294,0.19859,0.200739,0.201575
323,0.755,26489,690,2.539,0.199811,0.199258,0.198599,0.200748,0.201584
324,0.755,26489,690,2.539,0.199819,0.199266,0.198607,0.200716,0.201592
325,0.763,26489,690,2.539,0.199804,0.199251,0.198593,0.200702,0.20165
326,0.764,26489,690,2.539,0.199817,0.1992,0.198606,0.200715,0.201663
327,0.767,26489,690,2.539,0.199811,0.199194,0.1986,0.200709,0.201687
328,0.769,26489,690,2.539,0.199813,0.199195,0.198601,0.200702,0.201689
329,0.769,26489,690,2.539,0.199801,0.199198,0.198604,0.200705,0.201692
330,0.771,26489,690,2.539,0.199812,0.199209,0.198615,0.200716,0.201647
331,0.771,26489,690,2.539,0.19981,0.19921,0.198616,0.200717,0.201647
332,0.773,26489,690,2.539,0.199811,0.199211,0.198616,0.200718,0.201645
333,0.775,26489,690,2.539,0.199806,0.199206,0.198636,0.200713,0.20164
334,0.775,26489,690,2.539,0.199841,0.199197,0.198627,0.200704,0.201631
335,0.776,26489,690,2.539,0.199841,0.199196,0.19863,0.200703,0.20163
336,0.778,26489,690,2.539,0.199817,0.199173,0.198607,0.20068,0.201723
337,0.778,26489,690,2.539,0.19982,0.199175,0.19861,0.200682,0.201713
338,0.784,26489,690,2.539,0.199815,0.199195,0.198605,0.200677,0.201708
